Sp_code;Tetratrigona_angustula;Nannotrigona_testaceicornis;Paratrigona_opaca
Amaranthaceae;0;0.333333333;0
Api;22.14285714;7;2
Ile_sp;1.142857143;0;0
Acm_sp;0;0;0.333333333
Age_sp;0.142857143;0;0
Asteraceae;5.857142857;0;0
Emi_fos;2.714285714;0;0
Gal_par;2.142857143;0;0
Sen_sp;0;0.666666667;0
Sma_con;3;0.333333333;66.33333333
Tag_ere;0.285714286;2.666666667;5.333333333
Tar_sp;0.857142857;0;0
Imp_wal;0;1;0
Campanulaceae;0;0.666666667;0
Loz_sp1;0.571428571;0;0
Loz_sp2;0;0;11
Hed_Cit;10.28571429;6.333333333;20
Cos_sp;0;0;1
Gau_glo;0.142857143;0;0
Cli_sp;0.428571429;0;0
Sen_obt;7.571428571;3.333333333;1.333333333
Ara_sp;0;0;2
Rhy_min;45.28571429;35.66666667;7
Rib_bol;0.142857143;0;0
Ple_scu;0;0;0.333333333
Lig_sp;0.285714286;0;0
Ban_ges;0;9;0.333333333
Lea_sp;161.5714286;57.33333333;39
Mic_sp;38;2;0
Tib_Bell;11;3.333333333;0
Myr_sp;7.571428571;0.666666667;0
Euc_sp;0;0.666666667;1
Myr_mul;0;3.666666667;1
Myr_sel;0.714285714;0;0
Myrc_sp;0;43.66666667;7.666666667
Myrtaceae_1;0;2;45
Myrtaceae_2;0;2.333333333;5.666666667
Oxa_tri;0;0;99.33333333
Boc_sp;0.428571429;2;1.333333333
Pip_sp;22.71428571;25.33333333;6.333333333
Poaceae;0.428571429;0.333333333;0.333333333
Eri_ja;0;0;1.666666667
Pen_sp;0;0;3
Pal_sp;0;7.666666667;0
Gal_sub;0.714285714;0;0
Cit_sp;0.571428571;7.666666667;5.333333333
Solanaceae;7.142857143;6;2
Solanaceae ;0;1;3.666666667
Lan_camar;0;0;1
