Family;Species;Sp_code;Tetratrigona_angustula _1;Tetratrigona_angustula _2;Tetratrigona_angustula _3;Tetratrigona_angustula _4;Tetratrigona_angustula _5;Tetratrigona_angustula _6;Tetratrigona_angustula _7;Nannotrigona_testaceicornis _1;Nannotrigona_testaceicornis _2;Nannotrigona_testaceicornis _3;Paratrigona_opaca _1;Paratrigona_opaca _2;Paratrigona_opaca _3;Plant_status;Plant_status_2;Plant_life_form;Flowers_1km_radius;Total_interactions
Amaranthaceae;Amaranthaceae;Amaranthaceae;0;0;0;0;0;0;0;0;0;1;0;0;0;native;native;Herb ;;1
Apiaceae;Apiaceae;Api;4;1;0;0;47;99;4;4;17;0;3;0;3;non-native;cultivado;Bush ;1;182
Aquifoliacae;Ilex_sp;Ile_sp;0;0;0;0;4;4;0;0;0;0;0;0;0;native;native;Bush ;0;8
Asteraceae;Acmella_sp;Acm_sp;0;0;0;0;0;0;0;0;0;0;0;1;0;native;native;Herb ;1;1
Asteraceae;Ageratum_sp;Age_sp;0;0;1;0;0;0;0;0;0;0;0;0;0;native;native;Herb ;0;1
Asteraceae;Asteraceae;Asteraceae;16;0;3;1;14;4;3;0;0;0;0;0;0;;;Herb;;41
Asteraceae;Emilia_fosbergii;Emi_fos;8;11;0;0;0;0;0;0;0;0;0;0;0;native;native;Herb ;1;19
Asteraceae;Galinsoga_parvifolia;Gal_par;6;0;0;1;7;0;1;0;0;0;0;0;0;native;native;Herb ;1;15
Asteraceae;Senecio_sp;Sen_sp;0;0;0;0;0;0;0;0;2;0;0;0;0;native;native;Herb ;0;2
Asteraceae;Smallanthus_connatus_;Sma_con;10;0;1;0;4;4;2;0;0;1;133;60;6;native;native;Herb ;1;221
Asteraceae;Tagetes_erecta;Tag_ere;0;0;1;0;1;0;0;0;8;0;1;0;15;native;native;Herb ;1;26
Asteraceae;Taraxacum_sp;Tar_sp;0;0;0;0;6;0;0;0;0;0;0;0;0;non-native;cultivado;Herb ;0;6
Balsaminaceae;Impatiens_walleriana;Imp_wal;0;0;0;0;0;0;0;0;3;0;0;0;0;non-native;introduced;Herb ;1;3
Campanulaceae;Campanulaceae;Campanulaceae;0;0;0;0;0;0;0;2;0;0;0;0;0;;;Herb ;;2
Cannabaceae;Lozanella_sp1;Loz_sp1;0;0;1;0;2;0;1;0;0;0;0;0;0;native;native;Tree;1;4
Cannabaceae;Lozanella_sp2;Loz_sp2;0;0;0;0;0;0;0;0;0;0;2;29;2;native;native;Bush ;1;33
Chloranthaceae;Hedyosmum_Citrus;Hed_Cit;31;2;9;8;9;8;5;10;7;2;37;0;23;native;native;Tree;0;151
Costaceae ;Costus_sp;Cos_sp;0;0;0;0;0;0;0;0;0;0;1;1;1;native;native;Bush ;1;3
Ericaceae;Gaulteria_glomerata;Gau_glo;1;0;0;0;0;0;0;0;0;0;0;0;0;native;native;Bush ;1;1
Fabaceae;Clitoria_sp;Cli_sp;0;0;0;3;0;0;0;0;0;0;0;0;0;non-native;cosmopolita;Bush ;1;3
Fabaceae;Senna_obtusifolia;Sen_obt;16;7;0;1;7;22;0;4;6;0;2;1;1;native;native;Tree;0;67
Fabaceae ;Arachis_sp;Ara_sp;0;0;0;0;0;0;0;0;0;0;2;0;4;non-native;introduced;Herb ;1;6
Fabaceae ;Rhynchosia_minima;Rhy_min;87;10;44;25;57;35;59;94;13;0;1;5;15;non-native;cosmopolita;Herb ;0;445
Grossulaceae;Ribes_bolivianum;Rib_bol;0;1;0;0;0;0;0;0;0;0;0;0;0;native;native;Tree;0;1
Lamiaceae;Plectranthus_scutellarioides;Ple_scu;0;0;0;0;0;0;0;0;0;0;0;1;0;native;native;Bush ;1;1
Loranthaceae;Ligaria_sp;Lig_sp;0;0;0;2;0;0;0;0;0;0;0;0;0;non-native;cosmopolita;Climber;0;2
Malpighiaceae;Banisteriopsis_gesneriaceae;Ban_ges;0;0;0;0;0;0;0;15;12;0;1;0;0;native;native;Bush ;0;28
Melastomataceae;Leandra_sp;Lea_sp;269;163;123;181;130;95;170;128;43;1;12;3;102;native;native;Bush ;1;1420
Melastomataceae;Miconia_sp;Mic_sp;0;103;69;55;13;16;10;2;4;0;0;0;0;native;native;Bush ;1;272
Melastomataceae;Tibouchina_Bellucia;Tib_Bell;0;4;25;14;10;14;10;1;9;0;0;0;0;native;native;Bush ;1;87
Myrsinoideae;Myrsine_sp;Myr_sp;0;2;11;10;4;3;23;2;0;0;0;0;0;native;native;Tree;0;55
Myrtaceae;Eucalipto_sp;Euc_sp;0;0;0;0;0;0;0;0;0;2;2;0;1;non-native;introduced;Tree;1;5
Myrtaceae;Myrcia_multiflora;Myr_mul;0;0;0;0;0;0;0;1;10;0;2;0;1;native;native;Tree;0;14
Myrtaceae;Myrcia_selloi;Myr_sel;2;0;0;2;0;0;1;0;0;0;0;0;0;native;native;Tree;0;5
Myrtaceae;Myrcianthes_sp;Myrc_sp;0;0;0;0;0;0;0;4;125;2;13;0;10;native;native;Tree;0;154
Myrtaceae;Myrtaceae_1;Myrtaceae_1;0;0;0;0;0;0;0;0;0;6;17;2;116;native;native;Tree;;141
Myrtaceae;Myrtaceae_2;Myrtaceae_2;0;0;0;0;0;0;0;0;6;1;17;0;0;;;Bush ;;24
Oxalidaceae;Oxalis_triporado;Oxa_tri;0;0;0;0;0;0;0;0;0;0;33;238;27;native;native;Herb ;1;298
Papaveraceae;Bocconia_sp;Boc_sp;0;0;0;2;1;0;0;0;6;0;4;0;0;native;native;Bush ;1;13
Piperaceae;Piper_sp;Pip_sp;25;11;24;5;16;62;16;12;64;0;11;6;2;native;native;Bush ;1;254
Poaceae ;Poaceae;Poaceae;0;0;2;1;0;0;0;1;0;0;1;0;0;;;Herb ;;5
Rosaceae;Eriobotrya_japonica_;Eri_ja;0;0;0;0;0;0;0;0;0;0;5;0;0;non-native;cultivado;Tree;0;5
Rubiaceae;Penna_sp;Pen_sp;0;0;0;0;0;0;0;0;0;0;2;7;0;native;native;Herb ;0;9
Rubiaceae ;Palicourea_sp;Pal_sp;0;0;0;0;0;0;0;23;0;0;0;0;0;native;native;Bush ;0;23
Rubiaceae/Labiada;Galianthe_subyungensis;Gal_sub;0;0;1;0;4;0;0;0;0;0;0;0;0;native;native;Tree;0;5
Rutaceae;Citrus_sp;Cit_sp;0;0;0;0;4;0;0;23;0;0;16;0;0;non-native;cultivado;Tree ;1;43
Solanaceae;Solanaceae;Solanaceae;25;0;11;2;2;0;10;12;5;1;2;0;4;native;native;Bush ;;74
Solanaceae ;Solanaceae ;Solanaceae ;0;0;0;0;0;0;0;0;3;0;2;0;9;;;Bush ;;14
Verbenaceae;Lantana_camara;Lan_camar;0;0;0;0;0;0;0;0;0;0;3;0;0;non-native;introduced;Bush ;1;3
